Company,Role,Responsibility,Qualifications
Sunway Medical Centre,Senior Data Engineer,"Job Responsibilities

Cloud-Based Data Management:
Develop and maintain scalable data pipelines on cloud platforms e.g. Microsoft Azure and Huawei Cloud.
Design and implement cloud-native solutions for data ingestion, processing, and analytics.
Ensure optimal integration of big data services with existing systems.
Maintain security and compliance of data solutions in a healthcare context.


2. Data Processing, Transformation, and Optimization:

Lead the optimization of data systems and pipelines in a cloud environment.
Implement data validation, cleansing, transformation, and storage solutions in cloud and data lake environments.
Build ETL/ELT processes to prepare datasets that empower data analysts and other users.
Implement data engineering best practices, including SCD, CDC, and Medallion architecture to ensure efficient data flow.
Oversee the scalability, security, and performance of data pipelines.


3. Data Modeling and Enablement:

Design and build data models and datasets that empower data analysts and business teams to perform their own analysis and reporting.
Collaborate with stakeholders to understand data requirements and ensure data models are aligned with business needs.
Ensure data availability, quality, and consistency across the organization, supporting self-service analytics.


4. Leadership and Team Collaboration:

Provide technical guidance and mentorship in cloud-based data engineering.
Collaborate with different teams to translate business needs into effective cloud data solutions.
Drive cloud data initiatives and foster innovation within the team.


5. Innovation and Problem-Solving:

Explore and implement new technologies and methodologies in cloud big data services.
Lead troubleshooting and problem resolution for data processes in cloud environments.
Stay current with emerging trends and technologies in cloud data management.","Job Qualifications

Expertise in Cloud Big Data Platforms:

Proficient in cloud-based big data services e.g. Microsoft Azure and Huawei Cloud.
Experience in building and managing data solutions in a cloud environment.
Understanding of cloud architecture, data security, and compliance in a healthcare context.
Data Engineering and Analytical Skills:

Strong background in Python, SQL, and big data tools like Hadoop, Spark, PySpark, and Delta Lake.
Solid skills in data modeling and analytics in a cloud setting.
Ability to derive insights and solutions from complex data sets.
Communication and Collaboration:

Effective communication skills with both technical and non-technical teams.
Strong collaboration abilities, working effectively in a team setting.
Problem-Solving and Innovation:

Skilled in identifying and solving data-related challenges in cloud environments.
Adept at staying ahead of the curve in cloud data technologies and practices.
Technical Proficiency:

Deep understanding of technical concepts in data engineering and cloud computing.
Experience with quality assurance and testing of cloud-based data products."
Sherwin Williams,Junior Data Engineer,"Job Qualifications

Expertise in Cloud Big Data Platforms:

Proficient in cloud-based big data services e.g. Microsoft Azure and Huawei Cloud.
Experience in building and managing data solutions in a cloud environment.
Understanding of cloud architecture, data security, and compliance in a healthcare context.
Data Engineering and Analytical Skills:

Strong background in Python, SQL, and big data tools like Hadoop, Spark, PySpark, and Delta Lake.
Solid skills in data modeling and analytics in a cloud setting.
Ability to derive insights and solutions from complex data sets.
Communication and Collaboration:

Effective communication skills with both technical and non-technical teams.
Strong collaboration abilities, working effectively in a team setting.
Problem-Solving and Innovation:

Skilled in identifying and solving data-related challenges in cloud environments.
Adept at staying ahead of the curve in cloud data technologies and practices.
Technical Proficiency:

Deep understanding of technical concepts in data engineering and cloud computing.
Experience with quality assurance and testing of cloud-based data products.","FORMAL EDUCATION: 

Bachelor's Degree in Computer Science, Engineering or a related field.
KNOWLEDGE & EXPERIENCE:

Knowledge on SDLC.
Knowledge on OLAP.
Knowledge on Data Modeling concepts.
Knowledge on SQL, PL/SQL, Phyton or Java.
Knowledge on Snowflake or Oracle.
Knowledge on ETL / ELT, System Integration Process.
PERSONAL ATTRIBUTES:

Experience with testing tools, data warehousing.
Experience with Control-M BMC Scheduling tool.
Should have excellent attitude/skills with the business users.
Understanding of functional concepts & flow of Oracle Application Modules."
Avanade,Data Engineer,"What You'll Do

 Design, develop and configure software modules, interfaces and components
 Build the Data Ingestion framework and ingest data from source files to load into Staging layer
 Perform data profiling and identify any data quality issues and report to source systems
 Using best practices build the ETL components as per mapping rules to move data into ODS; SOR layer and Data marts"," 5-10 years of data analytics design and development experience
 Development knowledge of Python, Scala, HDFS Hadoop
 Understand Source data and support Source to Target mapping rules
 Proficient in ETL tools such as Azure Data Factory, Azure Databricks is required
 Good to have banking experience.
"
The Motley Fool,Data Engineer,"As a Freelance Data Engineer, you will be responsible for expanding and optimizing data, the

data pipeline architecture, the data flow, and collection for cross-functional teams. You are an

experienced data pipeline builder and data wrangler who enjoys optimizing data systems and

building them from the ground up. This role will involve collecting and integrating raw data from

various vendors, transforming it into clean, structured data sets, and building a scalable,

maintainable data mart. The ideal candidate will be responsible for ensuring the integrity and

usability of the data across downstream processes, working closely with stakeholders to ensure

data models align with business needs and support future growth. Strong technical skills and

Build data warehouses and data pipelines in Snowflake
Query and analyze large datasets in Snowflake using SQL
Debug and resolve data issues
Develop serverless data processing workflows using custom operators within Airflow.
Leverage data assets to meet mission needs, ensuring consistent data quality,
establishing data standards and governance

Work in an agile, collaborative environment, partnering with client stakeholders, to
develop and improve mission-based solutions

Monitor cloud-based systems and components for availability, performance, reliability,
security and efficiency

Create and configure appropriate cloud resources to meet the needs of the end users.
As needed, document topology, processes, and solution architecture.
Assist with the training and enablement of data consumers.
Share your passion for staying on top of tech trends, experimenting with and learning
new technologies","Enterprise-level data warehousing experience - specifically within Snowflake.
Proficiency in SQL, including multi-table joins, window functions, indexing strategies.
Data Debugging Experience
Experience developing using Python in context of data ingestion via REST APIs,
manipulation with native data types, and database connection

Experience with AWS Services, including Lambda functions, EC2/ECS instances, S3,
SQS, DynamoDB Tables; familiarity with IAM Roles and Policies.

Experience with development and deployment of data pipelines using Airflow; proficiency
in base and third-party operators for complex DAGs.

Experience with Snowflake setting up storage integrations, external stages, data shares,
snowpipes, RBAC; setting up tasks using Snowpark API.

Ability to work independently, and deliver results and drive projects with minimal
supervision

Strong ability to communicate blockers and issues to management for escalation and
timely resolution

Strong team player, with desire to learn new skills and broaden experience
Experience working with complex data sets
Nice to Have:

Experience with event tracking configuration in Google GA4 and analysis using
BigQuery

Experience with data migration project refactoring and optimizing complex SQL logic
Experience working with financial data
Experience investing and/or using The Motley Fool’s service offerings
Experience leveraging data quality tools to proactively address data discrepancies
Experience with DevOps, developing infrastructure-as-code via Terraform and/or
CloudFormation"
Token Metrics,Senior Crypto Data Engineer,"Liaising with coworkers and clients to elucidate the requirements for each task
 Conceptualizing and generating infrastructure that allows big data to be accessed and analyzed
 Reformulating existing frameworks to optimize their functioning
 Testing such structures to ensure that they are fit for use
 Building a data pipeline from different data sources using different data types like API, CSV, JSON, etc
 Preparing raw data for manipulation by Data Scientists
 Implementing proper data validation and data reconciliation methodologies
 Ensuring that your work remains backed up and readily accessible to relevant coworkers
 Remaining up-to-date with industry standards and technological advancements that will improve the quality of your outputs"," Bachelor's degree in Data Engineering, Big Data Analytics, Computer Engineering, or related field
 A Master's degree in a relevant field is an added advantage
 3+ years of Python, Java or any programming language development experience
 3+ years of SQL & No-SQL experience (Snowflake Cloud DW & MongoDB experience is a plus)
 3+ years of experience with schema design and dimensional data modeling
 Expert proficiency in SQL, NoSQL, Python, C++, Java, R
 Expert with building Data Lake, Data Warehouse or suitable equivalent
 Expert in AWS Cloud
 Excellent analytical and problem-solving skills
 A knack for independence and group work
 Capacity to successfully manage a pipeline of duties with minimal supervision"
Grab,Senior Data Engineer,"As a Senior Data Engineer, you will architect scalable data pipelines and systems. Your role involves close collaboration with multiple teams to ensure seamless data integration, processing, and delivery. You will enhance our data architecture with your expertise in big data technologies, focusing on reliability, scalability, and performance.

The Critical Tasks You Will Perform

You will develop scalable data pipelines and ETL (Extract, Transform, Load) processes, focusing on data extraction, transformation, and loading into our data warehouse.
You will collaborate with partners to gather and understand data requirements, translating them into technical solutions that align with our goals and reporting to the team Senior Engineering Manager
You will architect data models and schemas for efficient storage, retrieval, and analysis of structured and unstructured data.
You will implement best practices for data quality, governance, and security, ensuring the integrity of data assets.
You will optimize the performance and scalability of data infrastructure, using cloud services and distributed computing technologies.
You will implement new tools, frameworks, and technologies to enhance our data platform's capabilities.
You will mentor junior team members, offering guidance on technical design, coding standards.
You will stay current with industry trends and advancements in data engineering, contributing to continuous improvement and new ideas.","
Over 5 years of experience in data engineering with a ability to develop scalable systems.
Proficiency in programming languages such as Python or Scala and experience with data processing frameworks like Spark or Presto.
Hands-on experience with workflow management platforms such as Airflow.
Understanding of data formats like Avro, Parquet, Delta, ORC.
Knowledge of relational and NoSQL databases, data modeling, and SQL query optimization.
Familiarity with stream processing technologies such as Kafka or Flink.
For troubleshooting complex data issues.
Experience communicating updates and resolutions to customers and other partners to work with teams and convey technical information to non-technical partners."
UST,Data Analyst,"Job Description:

Data Collection and Management
-Gather data from various sources, including databases, spreadsheets, and external data sources.

-Clean and preprocess data to ensure accuracy and consistency.

-Manage and maintain data integrity and security.

Data Analysis
-Use statistical methods and tools to analyze data and identify trends, patterns, and insights.

-Conduct exploratory data analysis (EDA) to understand data characteristics and relationships.

-Perform data mining and build predictive models when required.

Reporting and Visualization
-Create reports, dashboards, and visualizations to present findings to stakeholders.

-Use tools like Power BI, or Excel to design and build interactive dashboards.

-Interpret and communicate complex data findings in a clear and actionable manner.

Collaboration and Communication
-Work closely with other teams such as marketing, finance, and product development to understand their data needs.

-Collaborate with data scientists and engineers to improve data collection and analysis processes.

-Provide data-driven recommendations and support decision-making processes.

-Strong attention to detail and ability to communicate complex ideas effectively.

Tool and Technology Utilization
-Utilize data analysis tools and programming languages such as SQL, advance excel, Power BI, Macros, Power Pivot, Power Query and VLoopUps.

-Work with databases and data management systems like SQL Server or MySQL.

-Stay updated with the latest data analysis technologies and methodologies."," A bachelor’s degree in a related field such as Data Science, Statistics, Computer Science, Mathematics, Economics or Accounting is typically required.
Advanced positions might require a master’s degree or relevant certifications (e.g., Certified Analytics Professional).
Relevant work experience or internships in data analysis or a related field can be advantageous.
Proficiency in data analysis tools and software (e.g., Advance Excel, SQL, Power Pivot, Power Query, VLookpUps)
Experience with data visualization tools (e.g.Power BI).
Knowledge of statistical methods and data modelling techniques.
Strong analytical and problem-solving abilities to interpret and analyse complex data sets.
Ability to identify patterns, correlations, and anomalies in data.
Excellent written and verbal communication skills to convey findings and insights to non-technical stakeholders.
Ability to create clear and concise reports and presentations."
UST,Data Engineer,"The individual will be responsible to provide ETL (extract-transfer-load) solutions and deployment of these solutions thus involve in various BI and Big Data Analytics related projects.
The individual will also be responsible in building necessary automation data feeds (ETL/ELT) mechanisms for data transfer from various source applications to target applications. Perform data integration - administration, optimization of performance evaluation & monitoring to the data feeds.
Support existing production portfolio and troubleshoot issues in providing fixes and solutions.
Participate in all aspects of software product development life cycle (SDLC) including requirement gathering, workflow architecture design, development, testing, demo, training and documentation. Plan, prepare and lead User Acceptance Test (UAT) for releases and ensure testing completeness.
The individual should demonstrate hi-energy and desire for data mining, scripting, problem solving and data analysis.
Work collaboratively with DBAs, infrastructure, network, data enablement teams and application BA analysts.
Collaborate improvements in data governance, methodologies and processes. Demonstrate a deep interest and understanding of big data, data modelling, data structures, data catalogue and how to manipulate data in an efficient manner. Quick in formulating quality, feasible and practical solution fit to big data application
Able to perform knowledge sharing of theoretical and practical.
Knack of exploring and try out new things related to Data Analytics world.
Training will be provided on needed basis.
","Someone with minimum 5 years of IT working experience especially into Business Intelligence or Data Analytics related job.
Possess at least a Degree in Computer Science, Information Technology, Engineering or related courses.
Data integration (ETL), mining, analytics experiences is A MUST. Experience in manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources and perform ETL (extract transfer load) scripts.
Development experience in Data Lake solutions such as Data Bricks, Azure DataLake, Fabric, AWS, Snowflake, Cloudera or Data Fabric such as Atlan, cinchy, IBM for Big Data solution is preferred.
Have experience in development in Hadoop environment is an added advantage and understand components the applications in Hadoop eco-system using ETL framework components such as Nifi, Kafka, Pentaho, Spark, Datalake Insights etc.
Cloud environment development experience is preferred. HCIA/HCIP/HCIE certificate in cloud computing, or equivalent certificates in the industry preferred, ep: AWS, Azure, GCP cloud certificates. Familiarity with AWS particularly services S3, Lambda, EMR, EC2 is added advantage.
SQL experience a MUST. Perform SQL as daily routine job. Working experiences in development database (such as MSSQL Server, Teradata or Oracle).
Have working experience or exposure with Business Intelligence tools is highly recommended. Preferably: Tableau, Power Query, Power BI Desktop etc.
Coming from manufacturing background (but not essential).
Other preferred software skill(s): PHP, Python, Java, Javascript is an added advantage.
Strong visualization capability and passionate in quantitative analysis – statistics, math, modeling, design etc.
Strong written and verbal communication skills. Good communication background. Good command in English speaking, listening and writing is highly desired. Important as this needed to work will multi organization manufacturing and enterprise within the company
Must be result oriented with strong analytical, troubleshooting & problem-solving skills with minimal supervision.
Knowledge of Project Management and Safe Agile process is an added advantage.
Extremely passionate with data from source to end solution
Experienced working in a virtual team environment is a plus."
Apical,Sustainability Data Analyst,"
Lead, manage, and support corporate sustainability digital initiatives.
Analyze and centralise corporate sustainability data (energy, environment, finance, human resources, OSH, procurement, supplier etc.) for annual Sustainability Report publication.
Improve sustainability data collection tools and procedures.
Engage and advise operational data owners from different countries on data consolidation.
Enhance and assess current corporate sustainability performance.
Engage with consultants and designers on Sustainability Report publication.
Support sustainability reporting standards verification activities.
Prepare content and answer for external assessment (CDP, SPOTT etc).
Prepare data and required document for queries and questionnaires.
Provide support to other functional units (within same department).
Verify the compliance of ESG standards in suppliers’ site (ad hoc).","Diploma or certificate in Environmental Science, Sustainability, Business, IT or related disciplines.
At least 1-3 years of work experience will be preferred. 
Good computer literacy, especially MS Excel. Conversant in English.
Organized and meticulous, good sense of responsibility and willing to learn.
Positive and pleasant personality."
Portcast,Data Analyst,"Documentation, Reporting, Root Cause analysis of Prediction issues
 Analyze ingested and system-generated data for anomalies and gaps
 Refer to various data sources to plug those gaps
 Create data stories and come up with possible solutions in terms of QA process flow change and/or automation. Own the subsequent plan and execution
 Automation of Performance/Accuracy review processes, report generation, data visualization using Python, SQL
 Support engineering and data science teams in system-level data fixes. Understand how the engine makes predictions, explore possible improvements in the process by fixing/introducing new data/features
 Support the customer operations, marketing team in getting insights from the data, such as performance, accuracy metrics, impact of real-time events, etc. as required
 Maintain, own internal and customer dashboards based on the trial/account requirements (e.g. prediction accuracy, timeliness, coverage, explainability)"," Bachelor's or Master’s degree in Computer Science, Engineering, Information Technology, or a related field
 Prior experience in data analysis or data analyst roles, preferably in a startup environment
 Exceptionally skilled in Python and SQL, with a demonstrated ability to consistently produce reusable and highly scalable code
 An eye for detail: Looking for anomalies in the system
 Familiarity with Linux, GitHub, product development
 Proven experience with data visualization
 Empathy and Urgency: to feel the customer pain and react promptly on a day-to-day basis
 A Problem solver & go-getter: either programmatically or manually meeting customer expectations and delivering on time
 Fluent with written and verbal in English
 Strong ownership mindset, efficiency, and data-driven approach
 Good to have: basic understanding of machine learning algorithms"
Ant International,Risk Data Analyst,"Analyze diverse user and transaction data to identify risk characteristics.
Develop comprehensive user risk profiles and strategies for batch registration, fraud, and promotion abuse.
Create data-driven strategies to inform business risk decisions and support sustainable international operations.
Collaborate with teams in algorithms, policies, product development, and technology to enhance our AI-based merchant risk management platform.
Assist with departmental initiatives and additional duties as needed.","Bachelor’s degree in Mathematics, Statistics, Finance, Management Science, Computer Science, or related fields.
3-5 years of experience in big data analysis and data mining; experience in banks, payment institutions, card providers, or internet companies is preferred.
Strong analytical and problem-solving skills, with proficiency in SQL.
Collaborative and inquisitive mindset.
Proficient in English and Mandarin for effective communication with stakeholders.
Knowledge of SAS, Python, or R is a plus."
Hatfield Thistle,Data Analyst Admin,"Data Entry & Management: Accurately enter data into supply chain management systems, maintaining updated records of inventory levels, orders, and shipments.
Documentation: Prepare and maintain documents related to supply chain activities, including purchase orders, invoices, and delivery notes.
Record Keeping: Organize and archive supply chain records, ensuring they are easily accessible for reference.
Reporting: Generate regular reports on stores inventory status, ordering progress and performance for review by the supply chain team and management. Alerting the supply chain team of any discrepancies or low stock levels in-store.
Administrative Support: Provide general administrative support to the supply chain team.
Inventory Monitoring and Handling: Assist in monitoring inventory levels and handling inventory software.
Must possess excellent written and spoken English, Mandarin, and Malay communication skills. We are seeking candidates proficient in Mandarin to effectively communicate with Mandarin-speaking clients.","Education: Preferably a degree holder, administration, or a related field.
Experience: Preferably experience in an administrative role.
Technical Skills: Proficiency in Microsoft Office Suite (Excel, Word, Outlook).
Mathematical Proficiency: Sensitive with numbers and proficiency in mathematics.
Organizational Skills: Strong organizational and time management skills, with the ability to manage multiple tasks and priorities.
Communication Skills: Excellent written and verbal communication skills.
Attention to Detail: High level of accuracy and attention to detail in all tasks.
Problem-Solving Skills: Ability to identify issues, analyze problems, and develop solutions.
Able to speak in English, Bahasa Malaysia and Mandarin."
Funding Societies,Senior Data Analyst,"Collaborate with cross-functional and cross-regional stakeholders to understand business drivers, formulate and complete end-to-end analytics solution
Design, develop and maintain self-service reports, dashboards and analysis on interactive BI tools for easier data visualization 
Contribute in collection, processing and modelling of financial data using SQL from complex databases to integrate into data warehouse that can be used for reporting/analysis and to give recommendations and drive decision making 
Deliver effective presentations of findings and recommendations to different audiences, creating visual displays of quantitative information that drives financial decisions in the business 
Find innovative and creative ways to obtain and drill insights from new financial data ","Minimum 3 years experience in credit risk / risk management / data analytics
Passionate in analysing and interpreting data patterns to drive business decisions, understanding Data Warehousing and ETL would be a plus!
Highly proficient in SQL / Python and business intelligence tools (e.g. Tableau, Sisense, PowerBI)
Excellent communication, project management, and stakeholder management skills in order to collaborate confidently with decision makers across different regions and departments
CFA / FRM / Chartered Banker would be an added advantage"
BingX,Senior Risk Control Data Analyst,"Identify risks in market promotion and operational activities, pinpointing users with fraudulent behavior on a large scale
Collaborate with marketing, operations, and product teams to support promotional activities and integrate risk control strategies into tools
Analyze user behavior and feedback to uncover black market trends and fraudulent behavior patterns
Conduct data analysis of security cases and develop long-term solutions based on case studies
Generate analytical insights and work with relevant teams to optimize risk control strategies","Bachelor’s degree or higher in Computer Science, Statistics, Mathematics, or a related field from an accredited university
Over 3 years of data analysis experience, preferably in Internet finance and risk control
Proficiency in data analysis and statistical tools such as SQL, Hive, and Spark. 
Strong data sensitivity with excellent analytical and problem-solving skills Knowledge of A/B test design and causal inference is essential
Excellent communication skills with strong comprehension abilities, capable of effectively articulating complex data insights to various stakeholders.
Proficient in Chinese will be highly advantageous"
AirAsia,Lead Data Scientist,"Improve models and algorithms to further optimize business outcomes.
Collaborate and work across functional and multidisciplinary teams in a dynamic environment to develop an understanding of evolving/agile business needs.
","Requirements and Qualifications:

BS/MS/PhD in Science (Statistics, Management, Cognitive / Psychology, AI, Analytics, Marketing, Design, HCI).
Up to 10 yrs relevant experience beyond first degree.
Experience with common data science toolkits, programming languages, visualisation tools and SQL/NoSQL databases.
Good applied statistical knowledge with emphasis in business and finance related statistical distributions, statistical testing, modeling, regression analysis, etc.
Experience with distributed computing platforms and open-source tools and libraries.
Experience developing and deploying to the cloud.
Familiar or prone to adopt design thinking methods.
Able to work under pressure and change, and balance among speed, reliability, interpretability.
Good working knowledge of productivity tools such as G Suite, Git, Jira, Confluence.
Experience with code versioning, code review and documentation.
Ability to identify challenges. build relationships, and communicate across functions and geographies, and deliver successful solutions.
Strong problem solving skills with an emphasis on business solution product development.
Ability to mentor junior data scientists.


Experience in one or more of the following specialized areas:



Machine Learning

Understanding of machine learning algorithms such as k-NN, Naive Bayes, SVM, Decision trees.
Experience using ML frameworks such as TensorFlow, PyTorch, or scikit-learn.
Experience with Google Cloud Platform products and services such as Vision API, Recommendations API, Cloud Natural Language.
An in depth knowledge of AI techniques, their real-world advantages/drawbacks, and ability to prescribe and implement feasible and appropriate conventional/AI related techniques that serve as solutions to problems.
Design, implement, and analyze A/B tests to optimize product features, marketing strategies, and customer experiences.


Algorithm Engineering

Strong ability to implement, improve, and deploy ML and Math models in Golang or Python.
Conduct systems tests for security, performance, and availability.
Develop and maintain the design and troubleshooting/error documentation.
Create cost effective scalable systems and develop innovative algorithm solutions.
Research on algorithm improvements for higher performance, accuracy, and optimality.


Operations Research

Familiar with modelling problems as mathematical programming, constraint satisfaction, particle swarm optimization and other appropriate OR methodologies.
Familiar with tools such as Cplex, Gurobi, Google OR-Tools.
Knowledge of advanced statistical and Operations Research techniques and concepts and experience with applications development.


Decision intelligence

Drive decision science aspects as a standard user experience -staff or customer- process (cognitive biases, cross-cultural reasoning, statistical interpretation, human factor impact, algorithmic bias etc.).
Actively showcase the added value of design thinking, data-driven decisions, agile and user-centric methods.
Support research (user and markets) and data processes for enhanced decision quality.
Develop strategic action plans integrating human factors and data science to improve AI driven decisions and choice architecture (persuasive design)."
Moneylion,Senior Data Scientist,"Perform analyses to understand how our users interact with our products and how to improve our products
Communicate findings to stakeholders in a clear and concise manner
Automate Identification of anomalies and investigate the root causes of anomalies
Lead, design and build experiments to solve challenging data and business problems
Identify trends and opportunities from the data to define product roadmaps
Craft business metrics, define and achieve objective targets and recommend ways to measure success
Work with engineers to improve the data collection process
Collaborate with product stakeholders to champion and lead data-driven decision making within the organization
Apply, develop or refine algorithms to deliver business value
Research, adopt and implement novel and cutting-edge techniques from literature to improve the performance of existing solutions
Mentor, coach, and manage team members towards excellence in deliverables","3-5 years of working experience minimum recommended
Experience with mentoring, training, hiring, onboarding, managing or leading a team will be advantageous
Have strong product sense and enthusiastic to deliver business value 
Strong mathematical, statistical or actuarial background
Must have hands on experience in machine learning, predictive analytics and statistical modeling
Deep knowledge of probability, statistics, distributions, and analysis methods
Demonstrably experienced at problem solving using both textbook methods and novel viewpoints
Highly proficient in programming languages such as Python and SQL
An understanding of data structures, data modeling, software architecture and machine learning algorithms will be an advantage
Demonstrably experienced with data visualization
Demonstrably excellent verbal and written communication skills
Highly independent and self driven to deliver results "
Webqlo,Senior Data Scientist,"Writing modular, well-tested, and maintainable code.
Manipulating large volumes of data pre-processing that involves data transformation and data cleaning. 
Researching, measuring, and analysing what works and what doesn’t. 
Exploring new technologies and analytics solutions, and using depths of knowledge in statistics and various machine learning tools to forecast and classify patterns in the data.
Increasing performance and accuracy of machine learning algorithms through fine-tuning and further performance optimisation.
Liaising and working closely with team and clients to clearly define and establish the requirements for each task.
Working closely with stakeholders to Identify opportunities for leveraging data to propose solutions for effective decision making.
","At least 3 years of experience as a Data Engineer or Data Analyst. 
3 years of experience in Python. Knowledge of Hadoop, Spark, and other ML tools will be of added value. 
Experienced in Shell Script, Linux Configuration, MySQL, and NoSQL. Knowledge of AWS S3, FTP, and Microsoft SQL will be of added value. 
Strong math skills in statistics, algebra, regression, etc. 
Able to work under minimal supervision.
Strong organisational and project management skills.
Collaborative team player.
Passionate and possesses good problem-solving skills.
Good verbal communication skills.
Good attention to detail to ensure data quality and integrity is upheld. 
Guide and support a team of juniors. 
Initiative to share knowledge, experience, and ideas at work. "
SEEK,Data Analyst,"Responsible for building, maintaining and improving dashboards for performance health monitoring and tracking effectiveness of initiatives for teams
Work with Product Owners/ Partners to define objectives and important metrics for streams and projects
Define and prepare measurement specifications and implementation requirements for projects across all platforms (desktop, mobile, email, etc)
Deliver accurate and value-adding useful insights of user behaviour
Provide pre and post-launch reviews of initiatives/ experiments
Communicate clear data, analysis and useful insights to enable partners in making informed decisions
Independently handle data queries from partners","At least 3-5 years’ experience working in analysis, strategy or research-related roles
An important plus point if having 2-3 years of experience with at least one of the web/ digital analytics tools like Google Analytics, Google Search Console, Adobe Analytics, Power BI or Tableau
Strong analytical skills and critical thinking skills
Strong foundation with statistical knowledge, practices and application in business
Strong collaborator to build and maintain relationships with Data teams, partners and peers
Involved in developing and managing strategy or research projects and defining these in terms of specific objective and business desired outcomes
Ability to motivate and lead internal/ external teams to deliver results beyond expectations.
Ability to work in a fast-paced global business environment and manage partners’ expectations across different time zones"
Software International Sdn Bhd,Data Engineer,"Participate in custom enterprise application development and maintenance for large corporations both within Asia and worldwide.
Provide solutions to the business users.
Design, code constructions, SIT testing, support UAT and implement enhancements.
Develop the necessary documentations (technical specs, test plan, change management) to support the IT SDLC process.
Provide level-2 BAU (production support) eg. batch runs, OS patching/upgrade, tech refresh/upgrade.
Work with infrastructure team to ensure applications are smooth running.","At least 3 years with hands-on experience:
Database – DB2 (Preferred), Oracle (Preferred), IBM Netezza
ETL/ELT data workflows – Data Stage (Preferred), SAP BI
Data warehouse, Data mart – including analysis of business/users requirements, solutioning
Data design and data model
Possess strong analysis abilities with acute sense of data analytics.
Multiple years of experience in a professional environment performing analysis, design and development tasks on multiple platforms.
Familiar with data analytics, data mining concepts and machine learning algorithms.
Proficient in data design, data architecture, robust ETL/ELT data workflows."
Fairview International School,Junior Data Analyst,"Develop sophisticated demand projection models to anticipate enrollment trends and simulate the impact of policy changes. Conduct in-depth data analysis to uncover underlying patterns and drivers of key trends. Utilise geospatial analysis to identify underserved areas and inform targeted recruitment and outreach efforts with the marketing team.

Evaluate the effectiveness of existing policies and programs through rigorous data analysis. Ensure data accuracy and integrity by performing thorough data validation and cleansing processes. Transform complex data into clear and compelling visualisations, reports, and presentations for stakeholders.

Collaborate closely with the academic team and stakeholders to communicate findings and recommendations effectively. Streamline data management processes and improve overall data documentation. Leverage data mining and machine learning techniques to design surveys and extract valuable insights for the academic team.

Assess the effectiveness of research instruments in-relation-to academic data.","Bachelor's degree in data analytics, statistics, mathematics, computer science, or a related field.

Proven experience in data analysis, modelling, and visualization. Proficiency in statistical software (e.g., SPSS, R, Python, SQL) and data visualisation tools (e.g., Tableau, Power BI). Knowledge of Google App Script is a bonus for data automation and report generation.

Understanding of data mining and machine learning techniques. Excellent problem-solving and critical-thinking skills. Strong communication and presentation skills.

Ability to work independently and collaboratively within a team"
Encora Inc,Data Engineer,"Analyze and organize raw data 
Build data systems and pipelines
Evaluate business needs and objectives
Interpret trends and patterns
Conduct complex data analysis and report on results 
Prepare data for prescriptive and predictive modeling
Build algorithms and prototypes
Combine raw information from different sources
Explore ways to enhance data quality and reliability
Identify opportunities for data acquisition
Develop analytical tools and programs
Collaborate with data scientists and architects on several projects","Experience: 3- 8 years

Proficiency in Oracle PL/SQL and MS SQL.
Experience with data replication, change data capture, and performance tuning.
Familiarity with data warehousing concepts and ETL processes.
(Good to have) Knowledge of Kafka and Debezium.
"
FootfallCam,ML Engineer,"Design, develop, and deploy machine learning models and algorithms for complex and unique datasets, using various techniques such as mathematical modeling, scikit-learn, NLP, CNN, RNN, DL, RL, Transformers, GAN, LLM, RAG, prompt engineering, GPT.
Collaborate with cross-functional teams to extract insights, identify business opportunities and provide data-driven recommendations
Stay up-to-date with the latest machine learning and AI techniques and tools
Communicate complex technical concepts to non-technical stakeholders in an easy-to-understand manner","Bachelor's degree or higher in Computer Science, Mathematics, Statistics, Actuarial Science, Informatics, Information Science or related fields
Strong analytical skills and attention to detail
Participation in Kaggle, Mathematics Olympiad or similar competitions is a plus
Excellent programming skills in Python, R, Java, or C++
Familiar with ML frameworks such as Tensorflow, Keras, PyTorch, MLFlow, AutoML, TensorRT, CUDA
Excellent communication and collaboration skills
Experience with designing, training, and deploying machine learning models
Customer centric and committed to deliver the best AI results to customers"
Capital Dynamics,Data Scientist,"Researching and analysing market trends using quantitative model and using technical analysis to make trading decisions
Developing and implementing complex quantitative models (e.g. trading & forecasting)
Performing daily statistical analyses (e.g. risk analytics and default risk modelling) and coding tasks (e.g. pattern recognition or machine learning)
Detailing model specifications and methods of data collection
Testing new models, products and analytics programs
Developing optimal strategies
Developing new data algorithm and models to support company products
Presenting and interpreting data results to senior management and clients","Strong problem solving skill.
Preferably with a minimum of 2 years’ experience in data science related roles.
A solid Bachelor's degree in Computer Science or Mathematics or Statistics or any other related computational discipline from a reputable university. Applicants with the relevant master's qualification would have an advantage.
Proven expertise in data science and analytics for key areas, such as probability and statistics, time-series analysis, pattern recognition, optimisation, and predictive modelling.
Understanding supervised and unsupervised machine learning techniques and algorithms, such as k-Means, SVM, Decision Trees, Random Forest, etc. is a plus.
Hands on programming experience in Python and R.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Good command of spoken and written English."
